year,month,prefectures,Infected
2020,2,Aichi,0
2020,2,Akita,0
2020,2,Aomori,0
2020,2,Chiba,0
2020,2,Ehime,0
2020,2,Fukui,0
2020,2,Fukuoka,0
2020,2,Fukushima,0
2020,2,Gifu,0
2020,2,Gunma,0
2020,2,Hiroshima,0
2020,2,Hokkaido,0
2020,2,Hyogo,0
2020,2,Ibaraki,0
2020,2,Ishikawa,0
2020,2,Iwate,0
2020,2,Kagawa,0
2020,2,Kagoshima,0
2020,2,Kanagawa,217
2020,2,Kochi,0
2020,2,Kumamoto,0
2020,2,Kyoto,0
2020,2,Mie,0
2020,2,Miyagi,0
2020,2,Miyazaki,0
2020,2,Nagano,0
2020,2,Nagasaki,0
2020,2,Nara,0
2020,2,Niigata,0
2020,2,Oita,0
2020,2,Okayama,0
2020,2,Okinawa,37
2020,2,Osaka,0
2020,2,Saga,0
2020,2,Saitama,0
2020,2,Shiga,0
2020,2,Shimane,0
2020,2,Shizuoka,0
2020,2,Tochigi,0
2020,2,Tokushima,0
2020,2,Tokyo,443
2020,2,Tottori,0
2020,2,Toyama,0
2020,2,Wakayama,0
2020,2,Yamagata,0
2020,2,Yamaguchi,0
2020,2,Yamanashi,0
2020,3,Aichi,2947
2020,3,Akita,54
2020,3,Aomori,50
2020,3,Chiba,1277
2020,3,Ehime,66
2020,3,Fukui,80
2020,3,Fukuoka,202
2020,3,Fukushima,41
2020,3,Gifu,177
2020,3,Gunma,219
2020,3,Hiroshima,55
2020,3,Hokkaido,3300
2020,3,Hyogo,2092
2020,3,Ibaraki,128
2020,3,Ishikawa,169
2020,3,Iwate,0
2020,3,Kagawa,16
2020,3,Kagoshima,6
2020,3,Kanagawa,2068
2020,3,Kochi,264
2020,3,Kumamoto,160
2020,3,Kyoto,576
2020,3,Mie,177
2020,3,Miyagi,36
2020,3,Miyazaki,51
2020,3,Nagano,100
2020,3,Nagasaki,25
2020,3,Nara,186
2020,3,Niigata,481
2020,3,Oita,271
2020,3,Okayama,21
2020,3,Okinawa,126
2020,3,Osaka,2920
2020,3,Saga,20
2020,3,Saitama,1024
2020,3,Shiga,85
2020,3,Shimane,0
2020,3,Shizuoka,68
2020,3,Tochigi,118
2020,3,Tokushima,23
2020,3,Tokyo,4634
2020,3,Tottori,0
2020,3,Toyama,4
2020,3,Wakayama,336
2020,3,Yamagata,1
2020,3,Yamaguchi,86
2020,3,Yamanashi,61
2020,4,Aichi,10655
2020,4,Akita,414
2020,4,Aomori,565
2020,4,Chiba,15786
2020,4,Ehime,1034
2020,4,Fukui,2717
2020,4,Fukuoka,11526
2020,4,Fukushima,1351
2020,4,Gifu,3202
2020,4,Gunma,2725
2020,4,Hiroshima,2525
2020,4,Hokkaido,11520
2020,4,Hyogo,12698
2020,4,Ibaraki,3405
2020,4,Ishikawa,4164
2020,4,Iwate,0
2020,4,Kagawa,488
2020,4,Kagoshima,184
2020,4,Kanagawa,18648
2020,4,Kochi,1665
2020,4,Kumamoto,950
2020,4,Kyoto,6355
2020,4,Mie,829
2020,4,Miyagi,1775
2020,4,Miyazaki,418
2020,4,Nagano,1183
2020,4,Nagasaki,405
2020,4,Nara,1553
2020,4,Niigata,1499
2020,4,Oita,1427
2020,4,Okayama,493
2020,4,Okinawa,2491
2020,4,Osaka,29365
2020,4,Saga,539
2020,4,Saitama,14847
2020,4,Shiga,1659
2020,4,Shimane,316
2020,4,Shizuoka,1219
2020,4,Tochigi,1114
2020,4,Tokushima,110
2020,4,Tokyo,76232
2020,4,Tottori,47
2020,4,Toyama,2404
2020,4,Wakayama,1190
2020,4,Yamagata,1265
2020,4,Yamaguchi,692
2020,4,Yamanashi,1080
2020,5,Aichi,15523
2020,5,Akita,496
2020,5,Aomori,830
2020,5,Chiba,27332
2020,5,Ehime,2008
2020,5,Fukui,3782
2020,5,Fukuoka,20575
2020,5,Fukushima,2486
2020,5,Gifu,4649
2020,5,Gunma,4575
2020,5,Hiroshima,5111
2020,5,Hokkaido,30570
2020,5,Hyogo,21398
2020,5,Ibaraki,5196
2020,5,Ishikawa,8796
2020,5,Iwate,0
2020,5,Kagawa,868
2020,5,Kagoshima,316
2020,5,Kanagawa,38398
2020,5,Kochi,2294
2020,5,Kumamoto,1481
2020,5,Kyoto,10883
2020,5,Mie,1395
2020,5,Miyagi,2728
2020,5,Miyazaki,527
2020,5,Nagano,2309
2020,5,Nagasaki,527
2020,5,Nara,2786
2020,5,Niigata,2527
2020,5,Oita,1860
2020,5,Okayama,756
2020,5,Okinawa,4402
2020,5,Osaka,54168
2020,5,Saga,1422
2020,5,Saitama,29940
2020,5,Shiga,3048
2020,5,Shimane,742
2020,5,Shizuoka,2286
2020,5,Tochigi,1840
2020,5,Tokushima,155
2020,5,Tokyo,155596
2020,5,Tottori,93
2020,5,Toyama,6877
2020,5,Wakayama,1942
2020,5,Yamagata,2135
2020,5,Yamaguchi,1137
2020,5,Yamanashi,1801
2020,6,Aichi,15488
2020,6,Akita,480
2020,6,Aomori,810
2020,6,Chiba,27664
2020,6,Ehime,2460
2020,6,Fukui,3660
2020,6,Fukuoka,24566
2020,6,Fukushima,2443
2020,6,Gifu,4616
2020,6,Gunma,4530
2020,6,Hiroshima,5037
2020,6,Hokkaido,35105
2020,6,Hyogo,21023
2020,6,Ibaraki,5077
2020,6,Ishikawa,8975
2020,6,Iwate,0
2020,6,Kagawa,840
2020,6,Kagoshima,319
2020,6,Kanagawa,42541
2020,6,Kochi,2220
2020,6,Kumamoto,1448
2020,6,Kyoto,10871
2020,6,Mie,1362
2020,6,Miyagi,2674
2020,6,Miyazaki,510
2020,6,Nagano,2292
2020,6,Nagasaki,510
2020,6,Nara,2760
2020,6,Niigata,2502
2020,6,Oita,1800
2020,6,Okayama,757
2020,6,Okinawa,4260
2020,6,Osaka,53921
2020,6,Saga,1410
2020,6,Saitama,31115
2020,6,Shiga,3013
2020,6,Shimane,720
2020,6,Shizuoka,2338
2020,6,Tochigi,2005
2020,6,Tokushima,155
2020,6,Tokyo,169140
2020,6,Tottori,90
2020,6,Toyama,6810
2020,6,Wakayama,1898
2020,6,Yamagata,2070
2020,6,Yamaguchi,1110
2020,6,Yamanashi,2084
2020,7,Aichi,24454
2020,7,Akita,509
2020,7,Aomori,907
2020,7,Chiba,38507
2020,7,Ehime,2586
2020,7,Fukui,3898
2020,7,Fukuoka,33277
2020,7,Fukushima,2606
2020,7,Gifu,6003
2020,7,Gunma,5134
2020,7,Hiroshima,6453
2020,7,Hokkaido,41260
2020,7,Hyogo,26062
2020,7,Ibaraki,6685
2020,7,Ishikawa,9446
2020,7,Iwate,5
2020,7,Kagawa,1138
2020,7,Kagoshima,4608
2020,7,Kanagawa,59246
2020,7,Kochi,2357
2020,7,Kumamoto,2050
2020,7,Kyoto,15717
2020,7,Mie,1746
2020,7,Miyagi,3710
2020,7,Miyazaki,1050
2020,7,Nagano,2604
2020,7,Nagasaki,1075
2020,7,Nara,4548
2020,7,Niigata,2785
2020,7,Oita,1874
2020,7,Okayama,1264
2020,7,Okinawa,5377
2020,7,Osaka,76233
2020,7,Saga,1663
2020,7,Saitama,51327
2020,7,Shiga,3769
2020,7,Shimane,789
2020,7,Shizuoka,3695
2020,7,Tochigi,3694
2020,7,Tokushima,335
2020,7,Tokyo,277206
2020,7,Tottori,169
2020,7,Toyama,7178
2020,7,Wakayama,2848
2020,7,Yamagata,2262
